match_id,team_id,goal_number,player1_id,player2_id,goal_type
52337,8654,10,192899,47382,volley
35998,9825,1,46469,50047,header
35998,9825,7,37436,50047,shot
35998,9825,10,46469,427438,shot
35998,10261,13,479020,160243,header
54149,8191,4,107280,214426,deflected
42175,8455,1,107417,128864,header
42175,8455,4,19243,107417,shot
54932,9826,1,28901,160194,header
35967,8668,1,215384,181276,distance
39007,8456,1,30631,26181,shot
41135,10260,1,30829,35327,shot
41135,10260,4,41468,30843,header
41135,10260,7,30843,41468,shot
44958,8654,4,30892,23933,deflected
53089,8586,1,194165,157723,header
53089,8586,7,157723,276121,shot
53890,10260,4,22543,23354,header
52636,10003,1,144996,127130,shot
56199,8650,1,184536,156008,shot
56199,9825,4,26154,23688,header
56199,9825,7,46469,37436,shot
56199,8650,10,22764,37234,header
35178,8456,1,37459,30509,deflected
35178,8456,4,37459,16351,shot
35178,8456,10,36615,38807,shot
47143,8472,1,24159,114218,shot
37106,8659,1,33086,33468,header
37106,8659,4,40187,33468,shot
37106,10172,10,187266,24741,tap_in
37106,10172,13,187266,24205,header
36919,8466,4,41280,23293,shot
36919,8466,7,72665,23792,header
52372,8455,1,30627,30613,header
52372,8455,4,30613,107417,shot
55363,8586,1,194165,110189,header
55363,8191,4,107280,32304,shot
55363,8586,7,174850,160448,distance
53976,8654,4,30892,192899,distance
51071,9825,4,50047,78513,header
51071,9825,7,31435,50047,deflected
49387,8650,1,246575,184536,shot
45973,8455,1,30627,19243,volley
45973,8455,4,19243,107417,shot
53590,8466,1,303339,279490,shot
53590,8466,4,46010,303339,shot
53590,8466,7,160599,279490,header
53590,9826,10,23837,8985,header
51990,8586,1,194165,110189,shot
51990,8197,4,26554,278343,backheel
54727,10260,1,30829,22543,tap_in
54727,10260,4,30829,41468,shot
54727,10260,7,30843,30829,header
49088,8667,4,190872,131583,distance
49088,8667,7,163200,190872,header
49088,8667,10,8922,111930,shot
53581,8456,7,37459,33991,shot
53581,8659,10,115160,24171,header
51141,8197,1,278343,23190,distance
30207,8650,1,314605,156008,shot
30207,8650,10,37234,184536,shot
49163,8456,1,37459,33991,shot
49163,8456,4,40196,26181,distance
49163,8191,7,32304,214426,shot
49163,8191,10,107280,290410,shot
49446,8668,1,30922,77690,volley
49446,10261,4,46700,24899,shot
49446,10261,7,479020,38373,shot
49446,8668,13,26151,24846,shot
31918,8466,1,303339,94267,shot
31918,8455,4,107417,30613,shot
57418,10194,1,72735,37194,shot
57418,10194,4,72735,110148,shot
37256,9825,7,113836,196386,shot
37256,8654,10,148302,109897,header
31063,8455,4,107417,30613,shot
51396,8654,4,30892,148302,distance
51396,9826,7,25537,8985,distance
53339,8668,1,77690,23782,header
53339,8668,4,32705,181276,shot
53339,9825,7,75489,37436,tap_in
53339,9825,10,46469,38521,header
43202,8456,4,92666,26181,shot
43202,8456,7,37412,33991,shot
45618,8472,4,109058,35443,header
53808,10003,1,23305,157729,shot
54644,8586,1,110189,30960,shot
54644,8586,4,361315,174850,header
54644,8586,7,110189,174850,header
54644,8586,10,30960,46353,tap_in
57083,8667,1,111930,24105,header
57083,8667,4,8922,105548,lob
58721,8197,7,23190,286119,volley
58721,8197,10,214570,278343,shot
38173,8456,1,36615,92666,distance
38173,8456,4,92666,31291,backheel
38173,8472,7,109058,35443,header
38173,8456,13,30631,31291,header
36592,10261,1,24228,160243,header
36592,10261,7,160243,104482,distance
36592,8191,10,214426,32148,header
36592,10261,13,94550,519835,shot
53939,10003,4,143365,144996,shot
39846,8466,1,303339,279490,lob
