player_id,finishing,dribbling,acceleration,sprint_speed,positioning,shot_power,short_passing,long_passing,vision,dribbling,crossing,ball_control,marking,standing_tackle,sliding_tackle,interceptions,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,date,FIFA_rating,Position
157723,75.0,84.0,80.0,74.0,75.0,78.0,84.0,82.0,85.0,84.0,84.0,85.0,38.0,54.0,22.0,45.0,9.0,14.0,7.0,7.0,6.0,2015-11-06,84,Midfielder
165823,23.0,64.0,75.0,76.0,22.0,42.0,68.0,56.0,49.0,64.0,52.0,64.0,84.0,88.0,81.0,82.0,10.0,15.0,16.0,15.0,15.0,2015-12-17,83,Defender
23268,30.0,49.0,66.0,68.0,51.0,69.0,71.0,66.0,39.0,49.0,55.0,62.0,82.0,85.0,83.0,85.0,32.0,33.0,38.0,32.0,34.0,2015-09-21,83,Defender
184536,70.0,87.0,89.0,77.0,76.0,79.0,85.0,78.0,87.0,87.0,74.0,88.0,24.0,38.0,35.0,30.0,12.0,7.0,9.0,14.0,6.0,2015-09-21,83,Midfielder
27365,63.0,81.0,59.0,50.0,68.0,72.0,83.0,86.0,85.0,81.0,84.0,85.0,60.0,70.0,74.0,84.0,13.0,10.0,13.0,12.0,11.0,2015-11-06,83,Midfielder
160599,45.0,61.0,63.0,69.0,56.0,86.0,77.0,81.0,57.0,61.0,64.0,69.0,83.0,85.0,83.0,83.0,16.0,6.0,14.0,16.0,14.0,2015-12-17,83,Defender
49543,25.0,56.0,69.0,77.0,30.0,71.0,55.0,55.0,28.0,56.0,51.0,55.0,86.0,84.0,84.0,80.0,5.0,3.0,5.0,4.0,4.0,2015-09-21,83,Defender
37442,53.0,59.0,67.0,74.0,59.0,72.0,74.0,70.0,57.0,59.0,76.0,67.0,83.0,82.0,86.0,83.0,10.0,13.0,9.0,6.0,13.0,2015-10-16,83,Defender
37799,79.0,79.0,93.0,89.0,84.0,81.0,76.0,60.0,75.0,79.0,51.0,77.0,19.0,40.0,39.0,27.0,10.0,13.0,6.0,16.0,9.0,2015-09-21,83,Attacker
292462,77.0,86.0,92.0,91.0,77.0,75.0,75.0,67.0,71.0,86.0,68.0,86.0,37.0,43.0,41.0,55.0,14.0,14.0,9.0,11.0,14.0,2015-12-17,83,Attacker
46820,38.0,69.0,79.0,79.0,64.0,70.0,74.0,68.0,60.0,69.0,78.0,75.0,81.0,83.0,87.0,82.0,6.0,7.0,7.0,12.0,7.0,2015-12-03,83,Defender
246575,73.0,87.0,94.0,92.0,81.0,68.0,77.0,70.0,76.0,87.0,72.0,85.0,48.0,58.0,54.0,26.0,15.0,12.0,12.0,15.0,9.0,2015-09-21,83,Attacker
164676,70.0,83.0,78.0,72.0,80.0,69.0,88.0,81.0,85.0,83.0,74.0,87.0,47.0,60.0,48.0,66.0,9.0,12.0,15.0,9.0,8.0,2015-12-03,83,Midfielder
178812,75.0,83.0,91.0,86.0,78.0,85.0,78.0,60.0,75.0,83.0,75.0,78.0,23.0,32.0,39.0,43.0,7.0,11.0,12.0,9.0,12.0,2015-10-09,83,Attacker
212867,81.0,83.0,85.0,86.0,80.0,82.0,75.0,53.0,69.0,83.0,72.0,78.0,17.0,19.0,23.0,29.0,11.0,13.0,13.0,6.0,10.0,2015-10-02,82,Attacker
30872,76.0,79.0,51.0,53.0,80.0,84.0,87.0,87.0,86.0,79.0,79.0,83.0,68.0,78.0,76.0,86.0,14.0,14.0,13.0,13.0,11.0,2015-09-21,82,Midfielder
31432,14.0,23.0,59.0,60.0,14.0,65.0,32.0,35.0,42.0,23.0,14.0,20.0,14.0,14.0,13.0,25.0,85.0,81.0,76.0,84.0,88.0,2015-10-09,82,Goalkeeper
170323,14.0,13.0,46.0,52.0,13.0,36.0,32.0,31.0,44.0,13.0,14.0,23.0,11.0,18.0,16.0,15.0,84.0,87.0,69.0,86.0,88.0,2015-09-21,82,Goalkeeper
24846,70.0,77.0,76.0,75.0,75.0,84.0,81.0,74.0,76.0,77.0,91.0,76.0,83.0,84.0,84.0,80.0,8.0,15.0,10.0,13.0,12.0,2015-09-21,82,Defender
38521,39.0,74.0,79.0,75.0,61.0,71.0,77.0,61.0,66.0,74.0,81.0,77.0,83.0,84.0,82.0,82.0,7.0,5.0,9.0,3.0,5.0,2015-10-30,82,Defender
41167,59.0,77.0,78.0,85.0,71.0,71.0,75.0,77.0,70.0,77.0,82.0,78.0,84.0,82.0,85.0,80.0,11.0,15.0,9.0,9.0,5.0,2015-10-16,82,Defender
23988,38.0,73.0,78.0,77.0,50.0,76.0,80.0,77.0,72.0,73.0,68.0,77.0,80.0,85.0,80.0,86.0,9.0,5.0,12.0,10.0,15.0,2015-11-06,82,Defender
26151,78.0,84.0,89.0,87.0,80.0,77.0,80.0,77.0,67.0,84.0,82.0,82.0,40.0,55.0,53.0,35.0,8.0,10.0,14.0,13.0,15.0,2015-11-26,82,Attacker
19243,90.0,82.0,75.0,78.0,89.0,83.0,65.0,48.0,74.0,82.0,63.0,82.0,28.0,39.0,34.0,40.0,11.0,13.0,12.0,8.0,11.0,2015-10-16,82,Attacker
25496,73.0,83.0,79.0,75.0,77.0,77.0,82.0,84.0,83.0,83.0,83.0,81.0,29.0,51.0,48.0,44.0,11.0,15.0,9.0,14.0,12.0,2015-09-21,82,Midfielder
176300,74.0,85.0,90.0,84.0,77.0,84.0,79.0,75.0,79.0,85.0,74.0,83.0,58.0,60.0,53.0,65.0,13.0,12.0,12.0,11.0,11.0,2015-12-10,82,Attacker
303339,76.0,84.0,93.0,91.0,77.0,73.0,73.0,67.0,69.0,84.0,68.0,77.0,33.0,33.0,38.0,29.0,10.0,10.0,15.0,7.0,14.0,2015-10-09,82,Attacker
46120,76.0,86.0,87.0,85.0,77.0,81.0,81.0,67.0,82.0,86.0,78.0,83.0,29.0,41.0,29.0,34.0,11.0,14.0,7.0,6.0,13.0,2015-10-16,82,Attacker
37762,60.0,66.0,69.0,72.0,65.0,86.0,75.0,74.0,62.0,66.0,68.0,74.0,81.0,85.0,81.0,83.0,6.0,10.0,9.0,12.0,7.0,2015-12-03,82,Defender
52133,56.0,70.0,72.0,73.0,54.0,74.0,78.0,76.0,68.0,70.0,68.0,79.0,81.0,85.0,84.0,80.0,11.0,12.0,10.0,7.0,14.0,2015-10-16,82,Defender
143793,64.0,84.0,79.0,74.0,80.0,75.0,84.0,83.0,85.0,84.0,73.0,84.0,61.0,63.0,65.0,61.0,6.0,15.0,15.0,9.0,11.0,2015-09-21,82,Midfielder
46554,81.0,83.0,87.0,85.0,80.0,78.0,75.0,53.0,66.0,83.0,68.0,82.0,16.0,23.0,19.0,29.0,16.0,7.0,13.0,15.0,8.0,2015-11-06,82,Attacker
31435,65.0,84.0,75.0,70.0,79.0,76.0,83.0,80.0,83.0,84.0,77.0,85.0,32.0,45.0,56.0,49.0,14.0,11.0,6.0,11.0,13.0,2015-09-21,82,Midfielder
177503,51.0,60.0,68.0,72.0,51.0,61.0,69.0,69.0,61.0,60.0,67.0,65.0,83.0,86.0,80.0,80.0,15.0,6.0,15.0,15.0,7.0,2015-11-26,82,Defender
30602,44.0,60.0,55.0,66.0,39.0,88.0,73.0,74.0,59.0,60.0,29.0,64.0,83.0,84.0,79.0,83.0,11.0,9.0,8.0,11.0,7.0,2015-12-10,82,Defender
213485,27.0,35.0,66.0,74.0,30.0,44.0,69.0,63.0,46.0,35.0,46.0,66.0,81.0,84.0,86.0,78.0,11.0,16.0,11.0,15.0,13.0,2015-11-12,82,Defender
186137,50.0,59.0,63.0,68.0,42.0,68.0,77.0,67.0,59.0,59.0,64.0,69.0,83.0,84.0,82.0,80.0,10.0,8.0,6.0,16.0,11.0,2015-09-21,82,Defender
26111,40.0,74.0,72.0,74.0,66.0,69.0,65.0,64.0,59.0,74.0,74.0,75.0,83.0,83.0,84.0,79.0,11.0,9.0,7.0,9.0,9.0,2015-10-02,82,Defender
115067,64.0,72.0,66.0,68.0,70.0,78.0,84.0,81.0,77.0,72.0,68.0,79.0,78.0,85.0,78.0,88.0,7.0,15.0,12.0,14.0,9.0,2015-11-06,82,Defender
49970,34.0,65.0,77.0,76.0,59.0,65.0,78.0,76.0,70.0,65.0,59.0,74.0,80.0,83.0,80.0,86.0,14.0,7.0,9.0,6.0,6.0,2015-12-17,82,Defender
46893,64.0,73.0,69.0,59.0,67.0,71.0,83.0,83.0,75.0,73.0,67.0,79.0,77.0,84.0,82.0,86.0,6.0,11.0,12.0,14.0,7.0,2015-12-03,82,Defender
128864,75.0,84.0,78.0,77.0,81.0,76.0,85.0,82.0,85.0,84.0,70.0,85.0,37.0,50.0,47.0,34.0,12.0,10.0,15.0,12.0,12.0,2015-10-16,82,Midfielder
38239,70.0,88.0,85.0,83.0,75.0,83.0,78.0,72.0,79.0,88.0,83.0,87.0,10.0,17.0,13.0,24.0,12.0,14.0,10.0,5.0,15.0,2015-10-09,82,Midfielder
251925,74.0,89.0,89.0,92.0,78.0,64.0,73.0,60.0,69.0,89.0,79.0,86.0,20.0,30.0,22.0,22.0,12.0,16.0,14.0,11.0,11.0,2015-12-10,82,Attacker
